time,gFx,gFy,gFz,TgF
2.262237291,-0.1732,0.6430,0.9226,1.108
2.263136197,-0.1839,0.6398,0.9028,1.091
2.263559791,-0.1969,0.6361,0.8757,1.069
2.264220468,-0.2008,0.6369,0.8400,1.041
2.275364739,-0.2040,0.6359,0.8063,1.014
2.275833541,-0.2052,0.6366,0.7723,0.988
2.276010832,-0.2064,0.6408,0.7457,0.970
2.276112655,-0.2135,0.6454,0.7281,0.960
2.27621427,-0.2218,0.6471,0.7222,0.959
2.27704203,-0.2362,0.6437,0.7254,0.963
2.279812916,-0.2497,0.6413,0.7323,0.971
2.292440832,-0.2604,0.6374,0.7350,0.974
2.292762707,-0.2726,0.6420,0.7384,0.982
2.292988176,-0.2780,0.6452,0.7359,0.984
2.293156614,-0.2756,0.6510,0.7306,0.983
2.293258176,-0.2711,0.6601,0.7235,0.981
2.294334374,-0.2648,0.6696,0.7188,0.982
2.296206405,-0.2609,0.6779,0.7112,0.980
2.298832655,-0.2589,0.6833,0.7047,0.978
2.300957395,-0.2580,0.6855,0.6946,0.972
2.303315728,-0.2582,0.6892,0.6839,0.966
2.313004947,-0.2567,0.6862,0.6739,0.957
2.315128176,-0.2565,0.6884,0.6626,0.950
2.315625364,-0.2548,0.6914,0.6580,0.948
2.315987082,-0.2555,0.7004,0.6558,0.953
2.316296666,-0.2553,0.7106,0.6614,0.964
2.317938645,-0.2509,0.7241,0.6722,0.979
2.320454739,-0.2423,0.7368,0.6861,0.995
2.322774062,-0.2318,0.7490,0.7068,1.015
2.324771666,-0.2245,0.7563,0.7313,1.035
